modulo,modulo_nome,rf,id,tipo,fonte,status,onda,codigo,teste_faturamento,resumo
2,Módulo de Cadastros,4,RF-2.4,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Cadastro de tipos de plantão.
2,Módulo de Cadastros,5,RF-2.5,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Cadastro de campos de formulário para atendimento.
2,Módulo de Cadastros,6,RF-2.6,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Cadastro de fichas de saúde vinculando campos previamente cadastrados.
2,Módulo de Cadastros,7,RF-2.7,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Cadastro/alteração/exclusão de cotas de procedimentos com distribuição pelas unidades de saúde e geração de relatórios.
2,Módulo de Cadastros,8,RF-2.8,Desejável,ambos,não iniciado,P0-P6,,n/a,Cadastro de crachás com tipos determinados pela gestão.
2,Módulo de Cadastros,9,RF-2.9,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Cadastro de tipos de cardápios para CND.
2,Módulo de Cadastros,10,RF-2.10,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Cadastro de cardápios para distribuição na unidade de internação.
2,Módulo de Cadastros,11,RF-2.11,Obrigatório,ambos,parcial,P0-P6,,n/a,"Cadastro de parâmetros de medicamentos: tipo de receita, controle especial, notificação de receita, via de administração."
2,Módulo de Cadastros,13,RF-2.13,Obrigatório,ambos,não iniciado,P0-P6,,n/a,"Cadastro de fichas de notificação e agravo, com preenchimento obrigatório conforme o CID informado no atendimento."
2,Módulo de Cadastros,14,RF-2.14,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Cadastro de procedimentos não padronizados no SUS.
2,Módulo de Cadastros,15,RF-2.15,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Cadastro de protocolos de atendimento.
2,Módulo de Cadastros,16,RF-2.16,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Cadastro de vínculo do profissional aos plantões disponíveis.
2,Módulo de Cadastros,17,RF-2.17,Obrigatório,ambos,parcial,P0-P6,apps/api/src/appointments,n/a,Cadastro de agendas profissionais com tipos de atendimento por agenda.
2,Módulo de Cadastros,18,RF-2.18,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Cadastro de procedimentos agendáveis.
2,Módulo de Cadastros,19,RF-2.19,Obrigatório,ambos,parcial,P0-P6,apps/api/.../organization.py#teams,n/a,Cadastro de equipes de saúde vinculadas às regras do SUS e da gestão.
2,Módulo de Cadastros,20,RF-2.20,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Cadastro de vacinas.
2,Módulo de Cadastros,21,RF-2.21,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Cadastro de estratégias das doses de vacinas.
2,Módulo de Cadastros,22,RF-2.22,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Cadastro de doses de vacinas.
2,Módulo de Cadastros,23,RF-2.23,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Cadastro de local de aplicação da dose.
2,Módulo de Cadastros,24,RF-2.24,Obrigatório,ambos,não iniciado,P0-P6,,n/a,"Cadastro de ficha de exames: nome, natureza, forma de exibição, sigilo, procedimento, agrupamento, CBOs permitidos, modelo de impressão com variáveis, permissão"
2,Módulo de Cadastros,26,RF-2.26,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Cadastro de scripts de resultado de exames.
2,Módulo de Cadastros,27,RF-2.27,Obrigatório,ambos,parcial,P0-P6,apps/api/.../patients.py,n/a,"Cadastro de pacientes: nome, mãe, data de nascimento, CPF, CNS, endereço completo, contatos, raça/cor, deficiência, naturalidade, nacionalidade, vínculo com uni"
2,Módulo de Cadastros,28,RF-2.28,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Cadastro das equipes de saúde conforme exigências do SUS.
2,Módulo de Cadastros,29,RF-2.29,Obrigatório,ambos,parcial,P0-P6,apps/api/.../territory.py,n/a,Cadastro domiciliar e territorial conforme regras da APS.
2,Módulo de Cadastros,30,RF-2.30,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Cadastro individual conforme regras da APS.
2,Módulo de Cadastros,31,RF-2.31,Obrigatório,ambos,não iniciado,P0-P6,,n/a,"Cadastro de protocolos de acesso por grupo, subgrupo, forma de organização ou procedimento, apoiando decisão da regulação."
2,Módulo de Cadastros,32,RF-2.32,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Cadastro de etapas do atendimento.
2,Módulo de Cadastros,33,RF-2.33,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Cadastro e listagem dos tipos de atendimento.
2,Módulo de Cadastros,34,RF-2.34,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Cadastro de contratos e serviços de saúde.
2,Módulo de Cadastros,35,RF-2.35,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Cadastro de pactuações municipais de procedimentos.
2,Módulo de Cadastros,36,RF-2.36,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Cadastro de tipos de item de agenda.
2,Módulo de Cadastros,37,RF-2.37,Obrigatório,ambos,não iniciado,P0-P6,,n/a,"Cadastro de informativos exibidos na abertura do sistema (mensagem, jpg, etc.)."
2,Módulo de Cadastros,38,RF-2.38,Obrigatório,ambos,não iniciado,P0-P6,,n/a,"Cadastro de indicadores de saúde: nome, período, descrição, objetivo, definição do script, escopo do contexto, área de resultado, parâmetros."
2,Módulo de Cadastros,39,RF-2.39,Obrigatório,ambos,não iniciado,P0-P6,,n/a,"Cadastro de numeração de APAC conforme portarias, com geração automática de quantidades."
2,Módulo de Cadastros,40,RF-2.40,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Cadastro de fichas de atestado no padrão do município.
2,Módulo de Cadastros,41,RF-2.41,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Atualização das fichas do e-SUS no modelo padronizado atual.
2,Módulo de Cadastros,42,RF-2.42,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Cadastro de filas de atendimento (tipos e status).
2,Módulo de Cadastros,43,RF-2.43,Obrigatório,ambos,não iniciado,P0-P6,,n/a,"Criação de grupos de procedimentos para tratamentos propostos, conforme gestão."
2,Módulo de Cadastros,44,RF-2.44,Obrigatório,ambos,não iniciado,P0-P6,,n/a,"Cadastro de numeração de AIH conforme portarias, com geração automática de quantidades."
2,Módulo de Cadastros,45,RF-2.45,Obrigatório,ambos,não iniciado,P0-P6,,n/a,"Relatório de CIDs por descrição, código e/ou tipo de agravo."
2,Módulo de Cadastros,46,RF-2.46,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Listagem de CIAPs.
2,Módulo de Cadastros,47,RF-2.47,Obrigatório,ambos,parcial,P0-P6,apps/api/.../facilities + ibgeCode + UI /unidades,n/a,Listagem de unidades de saúde.
2,Módulo de Cadastros,48,RF-2.48,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Listagem de procedimentos.
2,Módulo de Cadastros,49,RF-2.49,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Listagem de procedimentos por unidade.
2,Módulo de Cadastros,50,RF-2.50,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Listagem de vacinas.
2,Módulo de Cadastros,51,RF-2.51,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Listagem de situação de leitos.
2,Módulo de Cadastros,52,RF-2.52,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Listagem de dependências físicas por unidade de saúde.
2,Módulo de Cadastros,53,RF-2.53,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Listagem dos tipos de atendimento.
2,Módulo de Cadastros,54,RF-2.54,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Listagem das etapas de atendimento.
2,Módulo de Cadastros,55,RF-2.55,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Listagem dos tipos de leito.
2,Módulo de Cadastros,56,RF-2.56,Obrigatório,ambos,parcial,P0-P6,apps/api/.../patients.py#search,n/a,Listagem de pacientes.
2,Módulo de Cadastros,57,RF-2.57,Obrigatório,ambos,não iniciado,P0-P6,,n/a,"Acesso ao prontuário eletrônico do paciente sem necessidade de criar atendimento, com todos os atendimentos já realizados, independente do período."
2,Módulo de Cadastros,58,RF-2.58,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Digitalização e anexo de arquivos digitais por paciente.
2,Módulo de Cadastros,59,RF-2.59,Obrigatório,ambos,não iniciado,P0-P6,,n/a,Emissão de plantões de saúde.
2,Módulo de Cadastros,60,RF-2.60,Obrigatório,ambos,parcial,P0-P6,apps/api/.../assignments + ledi header,n/a,Listagem de profissionais por unidade de saúde.
2,Módulo de Cadastros,61,RF-2.61,Obrigatório,ambos,não iniciado,P0-P6,,n/a,"Listagem das equipes de saúde com filtros de unidade, equipe e tipo."
3,Módulo Ambulatorial,1,RF-3.1,Obrigatório,ambos,parcial,P0-P6,apps/api/src/encounters + UI /aps,automatizado,"Registro de entrada de pacientes com pesquisa em única tela (nome, data de nascimento, nome da mãe, CPF, CNS, cartão cidadão)."
3,Módulo Ambulatorial,2,RF-3.2,Obrigatório,ambos,não iniciado,P0-P6,,previsto,Definição de serviço a ser executado no ato da entrada do paciente.
3,Módulo Ambulatorial,3,RF-3.3,Obrigatório,ambos,não iniciado,P0-P6,,previsto,"Identificação do responsável pelo paciente, vinculado ao cadastro de pacientes."
3,Módulo Ambulatorial,4,RF-3.4,Obrigatório,ambos,não iniciado,P0-P6,,previsto,"Localização do paciente registrado na entrada por tipo de atendimento, etapas, nível de urgência, período, situação, dados do paciente."
3,Módulo Ambulatorial,5,RF-3.5,Obrigatório,ambos,não iniciado,P0-P6,,previsto,Entrada do paciente a partir da agenda prévia.
3,Módulo Ambulatorial,6,RF-3.6,Obrigatório,ambos,não iniciado,P0-P6,,previsto,Encaminhamento para etapa pré-cadastrada na entrada do paciente.
3,Módulo Ambulatorial,7,RF-3.7,Obrigatório,ambos,não iniciado,P0-P6,,previsto,"Marcação de não comparecimento de paciente agendado, com registro automático."
3,Módulo Ambulatorial,8,RF-3.8,Desejável,ambos,não iniciado,P0-P6,,previsto,Informar CBO no ato da entrada do paciente.
3,Módulo Ambulatorial,9,RF-3.9,Desejável,ambos,não iniciado,P0-P6,,previsto,Informar profissional no ato da entrada do paciente.
3,Módulo Ambulatorial,10,RF-3.10,Obrigatório,ambos,não iniciado,P0-P6,,previsto,"Chamada do paciente em painel por voz/texto (nome, profissional, local, senha, procedimento)."
3,Módulo Ambulatorial,11,RF-3.11,Obrigatório,ambos,não iniciado,P0-P6,,previsto,Uso de totem para retirada de senha com dados do serviço da unidade.
3,Módulo Ambulatorial,12,RF-3.12,Obrigatório,ambos,não iniciado,P0-P6,,previsto,Filtro de pacientes aguardando triagem por etapa(s).
3,Módulo Ambulatorial,13,RF-3.13,Obrigatório,ambos,não iniciado,P0-P6,,previsto,Classificação de risco por protocolos diversos definidos pela gestão.
3,Módulo Ambulatorial,14,RF-3.14,Obrigatório,ambos,não iniciado,P0-P6,,previsto,Classificação por cor no processo de classificação de risco.
3,Módulo Ambulatorial,15,RF-3.15,Obrigatório,ambos,não iniciado,P0-P6,,previsto,Lançamento de dados vitais na pré-consulta.
3,Módulo Ambulatorial,16,RF-3.16,Obrigatório,ambos,não iniciado,P0-P6,,previsto,Preenchimento de ficha de saúde na pré-consulta.
3,Módulo Ambulatorial,17,RF-3.17,Obrigatório,ambos,não iniciado,P0-P6,,previsto,Preenchimento de fichas exigidas pela Vigilância em Saúde.
3,Módulo Ambulatorial,18,RF-3.18,Obrigatório,ambos,não iniciado,P0-P6,,previsto,Informar procedimentos na pré-consulta.
3,Módulo Ambulatorial,19,RF-3.19,Obrigatório,ambos,não iniciado,P0-P6,,previsto,Identificar profissional que realizou o procedimento.
3,Módulo Ambulatorial,20,RF-3.20,Obrigatório,ambos,não iniciado,P0-P6,,previsto,Solicitar exames na pré-consulta.
3,Módulo Ambulatorial,21,RF-3.21,Desejável,ambos,não iniciado,P0-P6,,previsto,Visualizar lembretes na pré-consulta.
3,Módulo Ambulatorial,22,RF-3.22,Obrigatório,ambos,não iniciado,P0-P6,,previsto,Salvar pré-consulta encaminhando o paciente à próxima etapa.
3,Módulo Ambulatorial,23,RF-3.23,Obrigatório,ambos,não iniciado,P0-P6,,previsto,Chamada do paciente pelo painel.
3,Módulo Ambulatorial,24,RF-3.24,Obrigatório,ambos,parcial,P0-P6,apps/api/src/encounters#clinical + /aps preview-fai,automatizado,"Lista de pacientes aguardando consulta médica (cor de classificação, etapa, dados do paciente, tempo de atendimento)."
3,Módulo Ambulatorial,25,RF-3.25,Obrigatório,ambos,não iniciado,P0-P6,,previsto,Visualizar etapas já ocorridas com o paciente no ato do atendimento.
3,Módulo Ambulatorial,26,RF-3.26,Obrigatório,ambos,não iniciado,P0-P6,,previsto,"Preenchimento da ficha padrão da unidade como primeiro processo do atendimento, com campos editáveis."
3,Módulo Ambulatorial,27,RF-3.27,Desejável,ambos,não iniciado,P0-P6,,previsto,Visualizar vacinas registradas do paciente.
3,Módulo Ambulatorial,28,RF-3.28,Desejável,ambos,não iniciado,P0-P6,,previsto,Preenchimento de outras fichas disponibilizadas para o atendimento.
3,Módulo Ambulatorial,29,RF-3.29,Obrigatório,ambos,não iniciado,P0-P6,,previsto,Lançamento dos procedimentos realizados ao paciente.
3,Módulo Ambulatorial,30,RF-3.30,Obrigatório,ambos,não iniciado,P0-P6,,previsto,"Histórico completo de atendimentos no atendimento médico/multidisciplinar (atendimentos anteriores, medicamentos prescritos, exames e resultados, atendimentos o"
3,Módulo Ambulatorial,31,RF-3.31,Desejável,ambos,não iniciado,P0-P6,,previsto,"A partir de um CID/CIAP, direcionar preenchimento dos próximos passos para indicadores."
3,Módulo Ambulatorial,32,RF-3.32,Desejável,ambos,não iniciado,P0-P6,,previsto,Lançamento de lembretes para atendimento posterior.
3,Módulo Ambulatorial,33,RF-3.33,Obrigatório,ambos,parcial,P0-P6,,previsto,"Prescrição de medicamentos (receituário ou prescrição interna), com medicamentos padrão do município ou digitação de medicamento fora do padrão com alerta e ger"
3,Módulo Ambulatorial,34,RF-3.34,Obrigatório,ambos,não iniciado,P0-P6,,previsto,Geração de receituários.
3,Módulo Ambulatorial,35,RF-3.35,Obrigatório,ambos,não iniciado,P0-P6,,previsto,"Geração de atestados médicos no atendimento, com validação no portal da prefeitura."
3,Módulo Ambulatorial,36,RF-3.36,Obrigatório,ambos,não iniciado,P0-P6,,previsto,"Solicitação de procedimentos informando procedimento, CID e CBO."
3,Módulo Ambulatorial,37,RF-3.37,Obrigatório,ambos,não iniciado,P0-P6,,previsto,"Visualização de dados vitais da triagem e lançamento de novos, com histórico."
3,Módulo Ambulatorial,38,RF-3.38,Obrigatório,ambos,não iniciado,P0-P6,,previsto,"Preenchimento de laudo médico para emissão de AIH, no padrão SUS, reaproveitando dados já lançados."
3,Módulo Ambulatorial,39,RF-3.39,Obrigatório,ambos,não iniciado,P0-P6,,previsto,Atendimentos remotos por videoconferência com outros profissionais e registro em tempo real.
3,Módulo Ambulatorial,40,RF-3.40,Desejável,ambos,não iniciado,P0-P6,,previsto,"Definir próxima consulta por telemedicina, se necessário."
3,Módulo Ambulatorial,41,RF-3.41,Obrigatório,ambos,não iniciado,P0-P6,,previsto,"Médico solicitar exames internos gerando demanda para o laboratório, com chamada em painel de senha."
3,Módulo Ambulatorial,42,RF-3.42,Obrigatório,ambos,não iniciado,P0-P6,,previsto,"Acionamento pela interface quando exames/medicação/procedimentos forem checados, evitando espera desnecessária."
3,Módulo Ambulatorial,43,RF-3.43,Obrigatório,ambos,não iniciado,P0-P6,,previsto,"Início de tratamento com definição de etapas, tipo, início e fim."
3,Módulo Ambulatorial,44,RF-3.44,Obrigatório,ambos,não iniciado,P0-P6,,previsto,Definição de conduta e encerramento do atendimento conforme padrões da gestão.
3,Módulo Ambulatorial,45,RF-3.45,Desejável,ambos,não iniciado,P0-P6,,previsto,Assinatura eletrônica com validação no portal da prefeitura via ICP-Brasil.
3,Módulo Ambulatorial,46,RF-3.46,Obrigatório,ambos,não iniciado,P0-P6,,previsto,Encaminhamento do paciente a outras etapas definidas no atendimento médico.
3,Módulo Ambulatorial,47,RF-3.47,Obrigatório,ambos,não iniciado,P0-P6,,previsto,Geração de documentos de todo o atendimento para impressão seletiva.
3,Módulo Ambulatorial,48,RF-3.48,Obrigatório,ambos,não iniciado,P0-P6,,previsto,Geração de lembretes determinados pela gestão conforme regras de indicadores do SUS.
3,Módulo Ambulatorial,49,RF-3.49,Desejável,ambos,não iniciado,P0-P6,,previsto,"Alocação de paciente em leitos de observação, com indicadores por setor."
3,Módulo Ambulatorial,50,RF-3.50,Obrigatório,ambos,não iniciado,P0-P6,,previsto,Lançamento da escala de Glasgow com cálculos automáticos.
3,Módulo Ambulatorial,51,RF-3.51,Obrigatório,ambos,não iniciado,P0-P6,,previsto,"Checagem de prescrições (CID, dados do paciente, medicamentos) com lançamento de evolução de enfermagem."
3,Módulo Ambulatorial,52,RF-3.52,Obrigatório,ambos,parcial,P0-P6,,previsto,"Solicitação de procedimentos gerando demanda na central de regulação, com protocolos da gestão."
3,Módulo Ambulatorial,53,RF-3.53,Obrigatório,ambos,parcial,P0-P6,apps/api/src/care-extra#ledi-collective-v2,automatizado,"Atendimentos por fichas de atendimento coletivo, conforme regras da APS."
3,Módulo Ambulatorial,54,RF-3.54,Obrigatório,ambos,parcial,P0-P6,apps/api/src/care-extra#ledi-homecare-v2,automatizado,Atendimentos domiciliares conforme regras da APS.
3,Módulo Ambulatorial,55,RF-3.55,Obrigatório,ambos,não iniciado,P0-P6,,previsto,Registro de atendimentos da APS por fichas contemplando todos os campos exigidos pelo modelo de financiamento vigente.
3,Módulo Ambulatorial,56,RF-3.56,Obrigatório,ambos,não iniciado,P0-P6,,previsto,Atendimentos odontológicos com odontograma e próteses.
3,Módulo Ambulatorial,57,RF-3.57,Obrigatório,ambos,não iniciado,P0-P6,,previsto,Informações de patologias odontológicas no atendimento.
